Rank,TrackArn,TrackName,TrackDescription,TrackReleaseTime,TrackDifficulty,TrackLength,TrackWidth,TrackUsageCount
1,arn:aws:deepracer:us-east-1::track/2024_reinvent_champ,Forever Raceway,"The Forever Raceway is the grand finale of the DeepRacer Championship League. Inspired by the RL Speedway, this final track features short, narrow sprints and sharp 90-degree turns that test the ML skill sets of the world's fastest developers. Bring all your skills to this race, as it is the last and final track to crown the ultimate AWS DeepRacer Champion.",1727740800000,35,25.1,76.2,59
2,arn:aws:deepracer:us-east-1::track/2022_reinvent_champ,2022 re:Invent Championship,Get ready to rev your engines on the official 2022 re:Invent Championship track! This is an intensely difficult track (35.87 m) featuring a technical chicane section that will challenge even the most skilled developers.,1664557200000,10,33.27,0.95,1769
3,arn:aws:deepracer:us-east-1::track/2022_october_pro,Jennens Super Speedway,"The Jennens Super Speedway (62.07 m) is named in honor of the first ever racing family and 2021 re:Invent finalists James ""JJ"" and Timothy ""Flatearth"" Jennens. Pros this month will need to navigate the technical section without off tracks, and apply top speeds on the drag strips to climb the leaderboard.",1664557200000,40,62.08,1.07,40
4,arn:aws:deepracer:us-east-1::track/2022_october_open,Jennens Family Speedway,"The Jennens Family Speedway (49.56 m) is named in honor of the first ever racing family and 2021 re:Invent finalists James ""JJ"" and Timothy ""Flatearth"" Jennens. This track features two blistering fast drag strips right into unforgiving 90 degree sweeping turns that can spin out even the most skilled developers.",1664557200000,40,49.57,1.07,11
5,arn:aws:deepracer:us-east-1::track/2022_september_pro,Roger Super Raceway,"Are you ready rip on the Roger Super Raceway? The Roger Super Raceway was inspired by a real-life track in the home town of AWS Community Member, Roger Logan. At 60.17m this track features no shortage of lightning fast drag strips and unforgiving technical sections that will put even the most skilled developer to the test.",1661990400000,70,60.18,106.68,124
6,arn:aws:deepracer:us-east-1::track/2022_september_open,Roger Ring,"Get ready rip on the Roger Ring! This track at 45.3m honoring community member, Roger Logan, features a lightning fast drag strip straight into back-to-back 90 degree turns will undoubtedly send developers careening into the green. Do you have the skills to keep all four wheels on track? Submit your model today and find out!",1661990400000,40,45.3,106.68,36
7,arn:aws:deepracer:us-east-1::track/2022_august_pro,Jochem Highway,"Time to put your developer skills to the test on the Jochem Highway named after AWS Community member and re:Invent 2021 finalist, Jochem Lugtenburg. This incredibly difficult track features no shortage of technical sections from double 90 degree turns to unforgiving hairpin sections. The Jochem Highway will surely deliver plenty of off tracks to even the most skilled developers.",1659312000000,68,63.88,106.68,51
8,arn:aws:deepracer:us-east-1::track/2022_august_open,Jochem Turnpike,"Put your developer skills to the test on the Jochem Turnpike named after AWS Machine learning Community member and re:Invent 2021 finalist, Jochem Lugtenburg. This track features no shortage of zigzags and tricky hairpin turns. Does your model have what it takes to make it around the broad, sweeping turns and climb the leaderboard? Get racing today and find out!",1659312000000,30,43.31,106.68,23
9,arn:aws:deepracer:us-east-1::track/2022_july_pro,DBro Super Raceway,"Named after the 2021 AWS DeepRacer finalist Darren ""DBro"" Broderick, the DBro Super Raceway features 2 lightning fast dragstrips and an unforgiving technical section of hairpin turns and cutbacks. Do you have what it takes to advance or will get caught doing DOH-nuts in the green?",1656633600000,70,57.89,106.68,109
10,arn:aws:deepracer:us-east-1::track/2022_july_open,DBro Raceway,"Get ready to burn rubber on the DBro Raceway named after 2021 AWS DeepRacer finalist Darren ""DBro"" Broderick. This track features 3 lightning fast drag strips into sweeping turns. Do you have what it takes to advance or will get caught doing DOH-nuts in the green?",1656633600000,25,40.2,106.88,37
